"","doc_id","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","gc","gri","int","company","country","year","ctrygrp"
"356","SE0000242455_2020_IR_0.pdf",0,0,4,0,14,0,18,3,0,1,1,2,54,0,4,9,24,11,0,135,0,"SE0000242455","SE",2020,"EUR"
"357","SE0000310336_2016_IR_0.pdf",0,0,1,0,10,2,1,0,0,15,0,0,3,0,0,4,3,0,0,2,0,"SE0000310336","SE",2016,"EUR"
"358","SE0000310336_2020_IR_0.pdf",4,11,4,3,2,3,6,2,2,45,1,0,7,0,10,5,6,49,0,0,0,"SE0000310336","SE",2020,"EUR"
"359","SE0000667891_2016_IR_0.pdf",1,0,7,1,2,1,15,1,0,0,0,0,12,0,0,22,4,0,2,11,0,"SE0000667891","SE",2016,"EUR"
"360","SE0000667891_2020_IR_0.pdf",0,0,5,0,2,0,16,1,0,5,0,0,2,0,0,3,4,11,3,25,0,"SE0000667891","SE",2020,"EUR"
"361","SE0011166610_2016_IR_0.pdf",0,0,7,0,0,3,27,8,0,2,0,0,5,0,1,12,9,0,37,50,0,"SE0011166610","SE",2016,"EUR"
"362","SE0011166610_2020_IR_0.pdf",1,0,28,0,1,11,32,2,0,2,0,1,6,0,0,8,9,8,1,26,0,"SE0011166610","SE",2020,"EUR"
"363","TW0001216000_2016_SR_0.pdf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"TW0001216000","TW",2016,"JKT"
"364","TW0001216000_2020_SR_0.pdf",0,0,0,2,0,13,10,0,0,0,1,0,31,0,1,0,13,2,0,126,0,"TW0001216000","TW",2020,"JKT"
"365","TW0001301000_2016_SR_0.pdf",1,0,0,2,6,3,2,0,0,5,0,1,3,0,12,6,14,0,0,12,0,"TW0001301000","TW",2016,"JKT"
"366","TW0001301000_2020_SR_0.pdf",0,0,3,0,2,0,10,1,0,1,0,0,43,0,0,2,17,9,0,26,0,"TW0001301000","TW",2020,"JKT"
"367","TW0001303006_2016_SR_0.pdf",0,0,0,1,5,3,1,0,0,2,0,1,3,0,10,0,16,0,0,10,0,"TW0001303006","TW",2016,"JKT"
"368","TW0002002003_2016_SR_0.pdf",0,1,1,0,0,0,7,4,0,2,0,0,13,0,6,4,15,4,1,6,0,"TW0002002003","TW",2016,"JKT"
"369","TW0002002003_2020_SR_0.pdf",0,0,2,0,0,0,16,4,0,1,0,0,27,0,2,4,20,34,1,56,0,"TW0002002003","TW",2020,"JKT"
"370","TW0002303005_2016_SR_0.pdf",0,0,2,2,7,3,5,3,0,2,5,1,21,0,4,5,107,4,0,19,0,"TW0002303005","TW",2016,"JKT"
"371","TW0002303005_2020_SR_0.pdf",0,0,1,3,9,4,48,5,0,4,6,2,69,1,6,10,35,9,0,19,0,"TW0002303005","TW",2020,"JKT"
"372","TW0002317005_2016_SR_0.pdf",0,1,10,2,0,0,7,0,0,1,0,0,6,0,1,4,5,0,0,3,0,"TW0002317005","TW",2016,"JKT"
"373","TW0002317005_2020_SR_0.pdf",2,0,0,3,0,1,21,1,1,5,0,0,41,0,0,7,18,22,0,45,0,"TW0002317005","TW",2020,"JKT"
